Pelecanus occidentalis_Brown Pelican
Margarornis squamiger_Pearled Treerunner
Icterus chrysater_Yellow-backed Oriole
Scytalopus perijanus_Perija Tapaculo
Dryobates kirkii_Red-rumped Woodpecker
Atlapetes schistaceus_Slaty Brushfinch
Diglossa caerulescens_Bluish Flowerpiercer
Coccyzus erythropthalmus_Black-billed Cuckoo
Colibri delphinae_Brown Violetear
Campylopterus falcatus_Lazuline Sabrewing
Ciccaba albitarsis_Rufous-banded Owl
Ibycter americanus_Red-throated Caracara
Colaptes rivolii_Crimson-mantled Woodpecker
Sclerurus albigularis_Gray-throated Leaftosser
Patagioenas subvinacea_Ruddy Pigeon
Cissopis leverianus_Magpie Tanager
Contopus fumigatus_Smoke-colored Pewee
Asemospiza fuliginosa_Sooty Grassquit
Tinamus tao_Gray Tinamou
Buthraupis montana_Hooded Mountain Tanager
Coccyzus minor_Mangrove Cuckoo
Calidris bairdii_Baird's Sandpiper
Sittasomus griseicapillus_Olivaceous Woodcreeper
Sayornis nigricans_Black Phoebe
Phaethornis striigularis_Stripe-throated Hermit
Phaethornis longirostris_Long-billed Hermit
Taraba major_Great Antshrike
Phalaropus lobatus_Red-necked Phalarope
Aulacorhynchus albivitta_Southern Emerald-Toucanet
Megascops ingens_Rufescent Screech-Owl
Icterus mesomelas_Yellow-tailed Oriole
Pygochelidon cyanoleuca_Blue-and-white Swallow
Chlorospingus flavopectus_Common Chlorospingus
Cyanerpes caeruleus_Purple Honeycreeper
Spizaetus ornatus_Ornate Hawk-Eagle
Pachysylvia semibrunnea_Rufous-naped Greenlet
Chlorophonia pyrrhophrys_Chestnut-breasted Chlorophonia
Geothlypis aequinoctialis_Masked Yellowthroat
Passerina cyanea_Indigo Bunting
Pulsatrix perspicillata_Spectacled Owl
Anas crecca_Green-winged Teal
Grallaria guatimalensis_Scaled Antpitta
Arremon brunneinucha_Chestnut-capped Brushfinch
Phylloscartes superciliaris_Rufous-browed Tyrannulet
Lophotriccus pileatus_Scale-crested Pygmy-Tyrant
Attila spadiceus_Bright-rumped Attila
Coeligena coeligena_Bronzy Inca
Myiarchus stolidus_Stolid Flycatcher
Mimus polyglottos_Northern Mockingbird
Premnornis guttuliger_Rusty-winged Barbtail
Diglossa albilatera_White-sided Flowerpiercer
Steatornis caripensis_Oilbird
Touit batavicus_Lilac-tailed Parrotlet
Hafferia immaculata_Blue-lored Antbird
Ramphastos vitellinus_Channel-billed Toucan
Leptopogon superciliaris_Slaty-capped Flycatcher
Troglodytes solstitialis_Mountain Wren
Piranga flava_Hepatic Tanager
Larus argentatus_Herring Gull
Onychorhynchus coronatus_Royal Flycatcher
Piranga leucoptera_White-winged Tanager
Jacana spinosa_Northern Jacana
Sula sula_Red-footed Booby
Atlapetes melanocephalus_Santa Marta Brushfinch
Mecocerculus leucophrys_White-throated Tyrannulet
Cinnycerthia unirufa_Rufous Wren
Myiothlypis conspicillata_White-lored Warbler
Sphenopsis frontalis_Oleaginous Hemispingus
Pachyramphus albogriseus_Black-and-white Becard
Myiothlypis nigrocristata_Black-crested Warbler
Adelomyia melanogenys_Speckled Hummingbird
Henicorhina leucophrys_Gray-breasted Wood-Wren
Catharus aurantiirostris_Orange-billed Nightingale-Thrush
Vireo flavoviridis_Yellow-green Vireo
Xenopsaris albinucha_White-naped Xenopsaris
Dendrocolaptes picumnus_Black-banded Woodcreeper
Notharchus hyperrhynchus_White-necked Puffbird
Basileuterus culicivorus_Golden-crowned Warbler
Cymbilaimus lineatus_Fasciated Antshrike
Patagioenas leucocephala_White-crowned Pigeon
Anous stolidus_Brown Noddy
Pheucticus chrysogaster_Golden Grosbeak
Vireo leucophrys_Brown-capped Vireo
Schistes geoffroyi_Geoffroy's Daggerbill
Heliornis fulica_Sungrebe
Ortalis garrula_Chestnut-winged Chachalaca
Sporathraupis cyanocephala_Blue-capped Tanager
Scytalopus sanctaemartae_Santa Marta Tapaculo
Schiffornis stenorhyncha_Russet-winged Schiffornis
Ictinia mississippiensis_Mississippi Kite
Ammodramus humeralis_Grassland Sparrow
Eupsittula nana_Olive-throated Parakeet
Lepidocolaptes lacrymiger_Montane Woodcreeper
Megascops petersoni_Cinnamon Screech-Owl
Sterna dougallii_Roseate Tern
Tyrannus caudifasciatus_Loggerhead Kingbird
Trogon personatus_Masked Trogon
Setophaga virens_Black-throated Green Warbler
Dromococcyx pavoninus_Pavonine Cuckoo
Paraclaravis mondetoura_Maroon-chested Ground Dove
Nyctibius grandis_Great Potoo
Myioborus miniatus_Slate-throated Redstart
Machaeropterus striolatus_Striolated Manakin
Limosa haemastica_Hudsonian Godwit
Cyanocorax yncas_Green Jay
Vermivora chrysoptera_Golden-winged Warbler
Rallus longirostris_Mangrove Rail
Asio clamator_Striped Owl
Vireolanius eximius_Yellow-browed Shrike-Vireo
Setophaga magnolia_Magnolia Warbler
Nyctibius jamaicensis_Northern Potoo
Amblycercus holosericeus_Yellow-billed Cacique
Tinamus major_Great Tinamou
Ara macao_Scarlet Macaw
Arremon perijanus_Perija Brushfinch
Piprites chloris_Wing-barred Piprites
Odontophorus gujanensis_Marbled Wood-Quail
Chlorophonia cyanocephala_Golden-rumped Euphonia
Myiopagis olallai_Foothill Elaenia
Amazona farinosa_Mealy Parrot
Chaetura spinicaudus_Band-rumped Swift
Zonotrichia capensis_Rufous-collared Sparrow
Drymophila klagesi_Klages's Antbird
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Dysithamnus mentalis_Plain Antvireo
Patagioenas squamosa_Scaly-naped Pigeon
Setophaga citrina_Hooded Warbler
Formicarius rufipectus_Rufous-breasted Antthrush
Tityra semifasciata_Masked Tityra
Pharomachrus auriceps_Golden-headed Quetzal
Terenotriccus erythrurus_Ruddy-tailed Flycatcher
Chlorophanes spiza_Green Honeycreeper
Sipia palliata_Magdalena Antbird
Pyrrhura picta_Painted Parakeet
Cercomacroides tyrannina_Dusky Antbird
Jabiru mycteria_Jabiru
Tachyphonus rufus_White-lined Tanager
Stercorarius parasiticus_Parasitic Jaeger
Pachyramphus versicolor_Barred Becard
Euphonia xanthogaster_Orange-bellied Euphonia
Serpophaga cinerea_Torrent Tyrannulet
Glyphorynchus spirurus_Wedge-billed Woodcreeper
Circus buffoni_Long-winged Harrier
Syrigma sibilatrix_Whistling Heron
Orochelidon murina_Brown-bellied Swallow
Mellisuga minima_Vervain Hummingbird
Patagioenas fasciata_Band-tailed Pigeon
Aglaiocercus kingii_Long-tailed Sylph
Ploceus cucullatus_Village Weaver
Mionectes olivaceus_Olive-striped Flycatcher
Picumnus olivaceus_Olivaceous Piculet
Formicarius analis_Black-faced Antthrush
Bombycilla cedrorum_Cedar Waxwing
Platyrinchus mystaceus_White-throated Spadebill
Trogon collaris_Collared Trogon
Mustelirallus albicollis_Ash-throated Crake
Laterallus levraudi_Rusty-flanked Crake
Tachornis phoenicobia_Antillean Palm-Swift
Catamenia homochroa_Paramo Seedeater
Malacoptila mystacalis_Moustached Puffbird
Grallaria bangsi_Santa Marta Antpitta
Premnoplex brunnescens_Spotted Barbtail
Cistothorus platensis_Grass Wren
Aulacorhynchus sulcatus_Groove-billed Toucanet
Turdus flavipes_Yellow-legged Thrush
Myrmotherula axillaris_White-flanked Antwren
Coccyzus longirostris_Hispaniolan Lizard-Cuckoo
Campylorhynchus zonatus_Band-backed Wren
Campylorhamphus pusillus_Brown-billed Scythebill
Phylloscartes poecilotis_Variegated Bristle-Tyrant
